ID,Name,Pos,Value,Team,1_Pts,1_xMins,2_Pts,2_xMins,3_Pts,3_xMins,4_Pts,4_xMins,5_Pts,5_xMins,6_Pts,6_xMins,7_Pts,7_xMins,8_Pts,8_xMins,9_Pts,9_xMins,10_Pts,10_xMins,11_Pts,11_xMins,12_Pts,12_xMins,13_Pts,13_xMins,14_Pts,14_xMins
1,Raya,G,6.0,Arsenal,3.98,85,3.21,85,3.61,85,3.6,85,3.29,85,4.18,85,3.41,85,4.23,85,3.16,85,4.41,85,3.13,85,3.56,85,3.11,85,3.39,85
2,Arrizabalaga,G,5.0,Arsenal,0.18,6,0.17,6,0.17,6,0.17,6,0.17,6,0.18,6,0.17,6,0.18,6,0.16,6,0.19,6,0.16,6,0.17,6,0.16,6,0.17,6
3,Meslier,G,5.0,Arsenal,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1,0.03,1
4,Gabriel,D,8.0,Arsenal,4.67,83,3.6,84,4.12,84,3.98,84,3.63,84,4.67,84,3.77,84,4.73,84,3.51,84,5.0,84,3.52,84,4.0,84,3.53,84,3.82,84
5,J.Timber,D,6.5,Arsenal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
6,Saliba,D,6.0,Arsenal,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
7,Lewis-Skelly,M,5.5,Arsenal,1.45,61,1.5,68,1.61,68,1.61,68,1.54,68,1.74,68,1.57,68,1.75,68,1.5,68,1.84,68,1.52,68,1.58,68,1.52,68,1.59,68
8,Calafiori,D,5.5,Arsenal,2.81,75,2.3,78,2.84,78,2.67,78,2.44,78,3.34,78,2.54,78,3.38,78,2.35,78,3.6,78,2.37,78,2.82,78,2.37,78,2.57,78
9,Hincapie,D,5.5,Arsenal,2.73,64,2.21,71,2.31,71,2.35,71,2.09,71,2.56,71,2.19,71,2.59,71,2.02,71,2.73,71,2.02,71,2.18,71,2.03,71,2.22,71
10,White,D,5.5,Arsenal,2.35,70,2.23,76,2.7,76,2.53,76,2.4,76,3.08,76,2.47,76,3.11,76,2.34,76,3.26,76,2.36,76,2.71,76,2.36,76,2.49,76
